File,Line,Pattern,Risk Level,Suggestion
/home/kalyaan/hyper/benches/support/tokiort.rs,111,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/benches/support/tokiort.rs,119,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/benches/support/tokiort.rs,120,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/benches/support/tokiort.rs,121,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/benches/support/tokiort.rs,173,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/benches/support/tokiort.rs,185,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/benches/support/tokiort.rs,186,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/benches/support/tokiort.rs,187,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/benches/support/tokiort.rs,188,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,18,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,33,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,45,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,46,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,47,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,48,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,100,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,108,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,109,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/common/io/compat.rs,110,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/upgrade.rs,307,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/upgrade.rs,308,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/hyper/src/upgrade.rs,309,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/hyper/src/upgrade.rs,310,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,393,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,399,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,403,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,407,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,412,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,413,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,414,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,415,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,416,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,419,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/mod.rs,432,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/client.rs,593,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h2/server.rs,495,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/io.rs,232,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/io.rs,238,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/io.rs,239,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/io.rs,240,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/io.rs,241,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/io.rs,242,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/io.rs,243,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/conn.rs,1189,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/conn.rs,1190,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/conn.rs,1191,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,50,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,251,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,1066,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,1093,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,2987,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,2988,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,2989,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,3028,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,3029,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/proto/h1/role.rs,3030,other,LOW,Review for potential safety issues
/home/kalyaan/hyper/src/rt/io.rs,142,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
