File,Line,Pattern,Risk Level,Suggestion
/home/kalyaan/regex/src/pattern.rs,30,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/search.rs,196,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/search.rs,203,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/search.rs,209,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/search.rs,216,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/search.rs,370,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/search.rs,379,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/search.rs,385,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/search.rs,392,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/hybrid/dfa.rs,1415,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,276,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,277,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,278,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,279,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,280,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,281,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,291,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,292,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,293,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,294,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,295,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,296,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,307,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,308,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,309,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,310,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,311,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/wire.rs,312,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/pool.rs,431,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/pool.rs,567,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/pool.rs,568,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/pool.rs,569,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/pool.rs,691,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/pool.rs,716,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/pool.rs,972,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/pool.rs,1004,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,144,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,183,from_raw_parts,HIGH: Creating from raw parts,Ensure proper ownership and layout
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,189,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,203,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,219,from_raw_parts,HIGH: Creating from raw parts,Ensure proper ownership and layout
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,267,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,330,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,341,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,342,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,343,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,364,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,386,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,387,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/util/lazy.rs,388,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/accel.rs,214,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/accel.rs,241,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/accel.rs,242,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/accel.rs,243,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/accel.rs,244,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/accel.rs,245,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/accel.rs,246,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/automaton.rs,108,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/automaton.rs,165,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/automaton.rs,1829,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/automaton.rs,1836,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/sparse.rs,990,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/sparse.rs,1030,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/sparse.rs,1036,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/sparse.rs,1105,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/sparse.rs,1145,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/sparse.rs,1300,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/sparse.rs,1854,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/search.rs,99,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/search.rs,106,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/search.rs,112,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/search.rs,119,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/search.rs,233,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/search.rs,242,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/search.rs,248,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/search.rs,255,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/dense.rs,2342,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/dense.rs,2391,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/dense.rs,2397,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/dense.rs,3139,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/dense.rs,3178,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/dense.rs,3362,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/dense.rs,3964,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-automata/src/dfa/dense.rs,4356,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-cli/cmd/generate/serialize/dfa.rs,455,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-cli/cmd/generate/serialize/dfa.rs,550,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-cli/cmd/generate/serialize/dfa.rs,638,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-cli/cmd/generate/serialize/dfa.rs,748,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-cli/args/haystack.rs,62,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/macros.rs,25,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/error.rs,56,from_raw_parts,HIGH: Creating from raw parts,Ensure proper ownership and layout
/home/kalyaan/regex/regex-capi/src/error.rs,62,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,79,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,88,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,102,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,106,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,107,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,108,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,109,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,116,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,141,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,142,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,143,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,144,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,154,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/regex/regex-capi/src/rure.rs,165,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,166,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,179,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,180,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,181,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,198,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,199,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,200,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,213,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,214,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,219,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,220,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,221,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,234,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,235,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,248,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,258,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,259,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,260,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,261,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,262,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,277,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,291,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,292,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,293,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,294,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,295,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,319,from_raw_parts,HIGH: Creating from raw parts,Ensure proper ownership and layout
/home/kalyaan/regex/regex-capi/src/rure.rs,330,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,331,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,332,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,355,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,356,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,357,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,358,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,371,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,372,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,373,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,374,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,402,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,410,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/regex/regex-capi/src/rure.rs,420,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,424,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,425,other,LOW,Review for potential safety issues
/home/kalyaan/regex/regex-capi/src/rure.rs,426,other,LOW,Review for potential safety issues
