File,Line,Pattern,Risk Level,Suggestion
/home/kalyaan/tokio/benches/signal.rs,39,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/benches/signal.rs,40,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/benches/signal.rs,41,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/examples/tinyhttp.rs,203,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,28,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,415,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,773,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,782,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,783,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,784,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,785,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,786,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,787,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,930,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,953,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,954,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,955,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,956,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,973,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,989,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1064,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1073,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1074,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1075,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1076,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1077,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1108,concurrency,HIGH: Manual Send/Sync impl,Verify thread safety
/home/kalyaan/tokio/tokio/src/task/local.rs,1113,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1143,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1154,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1162,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1170,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1178,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1187,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1195,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1206,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/task/local.rs,1233,concurrency,HIGH: Manual Send/Sync impl,Verify thread safety
/home/kalyaan/tokio/tokio/src/task/local.rs,1294,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/macros/try_join.rs,181,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/macros/try_join.rs,205,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/macros/join.rs,135,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/macros/join.rs,157,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/macros/select.rs,705,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/macros/pin.rs,132,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/macros/addr_of.rs,8,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/macros/addr_of.rs,15,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/doc/os.rs,26,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/doc/os.rs,41,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/future/maybe_done.rs,94,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/future/maybe_done.rs,95,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/future/maybe_done.rs,96,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/future/maybe_done.rs,110,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/mod.rs,749,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/mod.rs,1561,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/mod.rs,1596,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,66,concurrency,HIGH: Manual Send/Sync impl,Verify thread safety
/home/kalyaan/tokio/tokio/src/process/windows.rs,67,concurrency,HIGH: Manual Send/Sync impl,Verify thread safety
/home/kalyaan/tokio/tokio/src/process/windows.rs,124,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,136,from_raw_parts,HIGH: Creating from raw parts,Ensure proper ownership and layout
/home/kalyaan/tokio/tokio/src/process/windows.rs,156,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,157,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,158,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,159,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,166,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/tokio/tokio/src/process/windows.rs,244,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,249,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,267,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,268,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,269,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,270,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,271,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,272,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,273,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,274,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,275,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,276,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,277,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,278,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,279,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,280,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,281,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,282,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/windows.rs,283,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,197,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,230,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,298,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,339,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,344,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,345,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,346,ffi,HIGH: FFI without safety comment,Add SAFETY comment
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,347,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,348,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/mod.rs,349,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/pidfd_reaper.rs,41,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/process/unix/pidfd_reaper.rs,53,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/mod.rs,108,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/wake_list.rs,48,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/wake_list.rs,51,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/wake_list.rs,60,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/wake_list.rs,67,ptr::read/write,HIGH: Manual pointer read/write,Use safe abstractions if possible
/home/kalyaan/tokio/tokio/src/util/wake_list.rs,69,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/wake_list.rs,81,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/ptr_expose.rs,18,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/ptr_expose.rs,35,mem::transmute,HIGH: mem::transmute used,Avoid unless absolutely necessary
/home/kalyaan/tokio/tokio/src/util/ptr_expose.rs,55,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/ptr_expose.rs,69,mem::transmute,HIGH: mem::transmute used,Avoid unless absolutely necessary
/home/kalyaan/tokio/tokio/src/util/ptr_expose.rs,74,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/rc_cell.rs,29,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/rc_cell.rs,44,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/rc_cell.rs,50,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,106,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,114,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,118,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,123,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,124,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,196,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,224,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,247,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,273,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,305,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,328,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,329,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,330,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,331,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,332,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,333,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,349,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,372,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,385,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,386,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,387,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,388,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,389,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,399,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,416,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,440,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,450,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,471,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,478,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,481,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/idle_notified_set.rs,485,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/typeid.rs,9,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/typeid.rs,41,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/as_ref.rs,21,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/as_ref.rs,26,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/as_ref.rs,32,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/wake.rs,36,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/wake.rs,53,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/tokio/tokio/src/util/wake.rs,58,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/tokio/tokio/src/util/wake.rs,64,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/tokio/tokio/src/util/wake.rs,70,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/tokio/tokio/src/util/sharded_list.rs,28,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/sharded_list.rs,31,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/sharded_list.rs,81,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/sharded_list.rs,86,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/sharded_list.rs,95,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/sharded_list.rs,131,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/sharded_list.rs,138,other,LOW,Review for potential safety issues
/home/kalyaan/tokio/tokio/src/util/linked_list.rs,30,other,LOW,Review for potential safety issues
